Date,Open,High,Low,Close,Volume
20180617,1.15874,1.16020,1.15860,1.15930,9248
20180618,1.15930,1.16410,1.15653,1.16298,217356
20180619,1.16297,1.16445,1.15307,1.15881,275790
20180620,1.15882,1.15999,1.15365,1.15773,248277
20180621,1.15774,1.16334,1.15082,1.16043,291248
20180622,1.16043,1.16749,1.16005,1.16561,253362
20180624,1.16622,1.16728,1.16577,1.16600,14165
20180625,1.16603,1.17130,1.16286,1.17009,265828
20180626,1.17009,1.17203,1.16348,1.16493,286931
20180627,1.16493,1.16720,1.15407,1.15629,337695
20180628,1.15628,1.16005,1.15271,1.15634,291763
20180629,1.15634,1.16902,1.15632,1.16847,289501
20180701,1.16747,1.16900,1.16616,1.16786,17199
20180702,1.16778,1.16789,1.15911,1.16415,244761
20180703,1.16413,1.16731,1.16204,1.16589,250623
20180704,1.16587,1.16817,1.16305,1.16601,196571
20180705,1.16602,1.17201,1.16500,1.16918,267474
20180706,1.16919,1.17676,1.16800,1.17444,233226
20180708,1.17392,1.17541,1.17387,1.17517,12726
20180709,1.17514,1.17906,1.17326,1.17560,240376
20180710,1.17560,1.17624,1.16901,1.17279,242914
20180711,1.17279,1.17580,1.16653,1.16749,283190
20180712,1.16749,1.16955,1.16497,1.16638,247201
20180713,1.16637,1.16868,1.16129,1.16843,231207
20180715,1.16896,1.16912,1.16770,1.16783,9347
20180716,1.16783,1.17253,1.16756,1.17090,235739
20180717,1.17090,1.17446,1.16484,1.16530,268578
20180718,1.16536,1.16648,1.16019,1.16449,260375
20180719,1.16449,1.16785,1.15748,1.16544,315398
20180720,1.16547,1.17387,1.16262,1.17196,308640
20180722,1.17252,1.17453,1.17233,1.17403,13515
20180723,1.17404,1.17497,1.16836,1.16934,249710
20180724,1.16934,1.17168,1.16545,1.16845,249539
20180725,1.16846,1.17387,1.16640,1.17379,263547
20180726,1.17379,1.17436,1.16379,1.16437,256892
20180727,1.16436,1.16642,1.16203,1.16559,216981
20180729,1.16561,1.16604,1.16525,1.16591,7467
20180730,1.16591,1.17186,1.16479,1.17071,195433
20180731,1.17071,1.17458,1.16838,1.16890,231817
20180801,1.16890,1.16994,1.16572,1.16631,231106
20180802,1.16632,1.16675,1.15816,1.15850,231115
20180803,1.15851,1.16105,1.15603,1.15670,235842
20180805,1.15663,1.15705,1.15601,1.15615,9231
20180806,1.15615,1.15702,1.15300,1.15579,207237
20180807,1.15580,1.16082,1.15515,1.16029,209889
20180808,1.16029,1.16281,1.15732,1.16092,207115
20180809,1.16092,1.16192,1.15162,1.15240,229436
20180810,1.15239,1.15363,1.13881,1.14090,289014
20180812,1.13710,1.14115,1.13708,1.13946,14625
20180813,1.13948,1.14328,1.13649,1.14004,269056
20180814,1.14004,1.14294,1.13302,1.13466,258488
20180815,1.13466,1.13548,1.13009,1.13416,248614
20180816,1.13416,1.14091,1.13357,1.13718,246338
20180817,1.13719,1.14448,1.13663,1.14379,207255
20180819,1.14371,1.14399,1.14353,1.14378,6491
20180820,1.14379,1.14931,1.13942,1.14918,223476
20180821,1.14918,1.16011,1.14854,1.15759,264617
20180822,1.15761,1.16229,1.15531,1.15857,229642
20180823,1.15857,1.15906,1.15298,1.15419,230347
20180824,1.15419,1.16397,1.15381,1.16205,227564
20180826,1.16141,1.16534,1.16140,1.16451,9015
20180827,1.16450,1.16935,1.15943,1.16840,206272
20180828,1.16842,1.17334,1.16625,1.16932,238880
20180829,1.16932,1.17106,1.16520,1.17093,237456
20180830,1.17094,1.17181,1.16417,1.16654,242012
20180831,1.16654,1.16901,1.15845,1.15997,236122
20180902,1.15961,1.16037,1.15926,1.15980,7311
20180903,1.15979,1.16278,1.15889,1.16138,165572
20180904,1.16139,1.16141,1.15301,1.15871,221260
20180905,1.15872,1.16400,1.15425,1.16344,262334
20180906,1.16346,1.16592,1.16055,1.16198,235895
20180907,1.16200,1.16495,1.15506,1.15520,233564
20180909,1.15483,1.15608,1.15474,1.15607,6142
20180910,1.15605,1.16161,1.15260,1.15935,196931
20180911,1.15935,1.16441,1.15654,1.15955,212600
20180912,1.15954,1.16496,1.15699,1.16253,233318
20180913,1.16253,1.17009,1.16091,1.16911,223776
20180914,1.16912,1.17215,1.16206,1.16227,206329
20180916,1.16223,1.16322,1.16219,1.16234,6455
20180917,1.16234,1.16981,1.16180,1.16685,189403
20180918,1.16686,1.17243,1.16521,1.16775,227768
20180919,1.16777,1.17149,1.16500,1.16740,230823
20180920,1.16738,1.17845,1.16719,1.17755,244024
20180921,1.17756,1.18027,1.17327,1.17473,201816
20180923,1.17432,1.17522,1.17378,1.17485,7881
20180924,1.17483,1.18153,1.17241,1.17523,205083
20180925,1.17525,1.17925,1.17310,1.17628,212245
20180926,1.17629,1.17976,1.17259,1.17469,217472
20180927,1.17469,1.17571,1.16331,1.16360,272101
20180928,1.16360,1.16511,1.15698,1.16019,225574
20180930,1.16171,1.16173,1.16028,1.16052,6755
20181001,1.16052,1.16246,1.15635,1.15769,205860
20181002,1.15770,1.15802,1.15052,1.15503,244752
20181003,1.15503,1.15936,1.14645,1.14764,266796
20181004,1.14765,1.15426,1.14633,1.15173,233549
20181005,1.15173,1.15495,1.14838,1.15174,228034
20181007,1.15210,1.15275,1.15197,1.15238,7744
20181008,1.15238,1.15296,1.14599,1.14941,189490
20181009,1.14941,1.15087,1.14321,1.15046,259387
20181010,1.15046,1.15452,1.14798,1.15330,240853
20181011,1.15330,1.15994,1.15311,1.15900,294250
20181012,1.15899,1.16104,1.15343,1.15571,229947
20181014,1.15372,1.15534,1.15369,1.15504,10140
20181015,1.15505,1.16061,1.15430,1.15828,216125
20181016,1.15828,1.16212,1.15660,1.15762,219149
20181017,1.15763,1.15803,1.14953,1.15011,245015
20181018,1.15012,1.15272,1.14492,1.14539,251519
20181019,1.14539,1.15345,1.14331,1.15142,242562
20181021,1.15149,1.15179,1.15084,1.15105,8793
20181022,1.15106,1.15501,1.14557,1.14646,226032
20181023,1.14646,1.14934,1.14392,1.14706,264273
20181024,1.14706,1.14766,1.13789,1.13988,261664
20181025,1.13987,1.14326,1.13561,1.13753,249317
20181026,1.13753,1.14209,1.13355,1.14021,260126
20181028,1.13921,1.14038,1.13921,1.13980,7419
20181029,1.13980,1.14163,1.13606,1.13755,246457
20181030,1.13756,1.13877,1.13404,1.13453,218950
20181031,1.13452,1.13601,1.13020,1.13145,241549
20181101,1.13146,1.14241,1.13126,1.14027,258773
20181102,1.14028,1.14557,1.13722,1.13860,234356
20181104,1.13863,1.13993,1.13862,1.13976,11046
20181105,1.13975,1.14239,1.13530,1.14083,217275
20181106,1.14083,1.14417,1.13913,1.14410,229492
20181107,1.14410,1.14995,1.13947,1.14325,301695
20181108,1.14325,1.14465,1.13515,1.13679,255925
