"Date	ActualValue5	ForecastValue5	PreviousValue5"
"2017.09.20	4.591	-2.205	5.888"
"2017.09.13	5.888	-2.270	4.580"
"2017.09.07	4.580	-2.262	-5.392"
"2017.08.30	-5.392	-2.188	-3.327"
"2017.08.23	-3.327	-2.080	-8.945"
"2017.08.16	-8.945	-1.820	-6.451"
"2017.08.09	-6.451		-1.527"
"2017.08.02	-1.527		-7.208"
"2017.07.26	-7.208		-4.727"
"2017.07.19	-4.727		-7.564"
"2017.07.12	-7.564		-6.299"
"2017.07.06	-6.299		0.118"
"2017.06.28	0.118		-2.451"
"2017.06.21	-2.451		-1.661"
"2017.06.14	-1.661		3.295"
"2017.06.07	3.295		-6.428"
"2017.06.01	-6.428		-4.432"
"2017.05.24	-4.432		-1.753"
"2017.05.17	-1.753		-5.247"
"2017.05.10	-5.247		-0.930"
"2017.05.03	-0.930		-3.641"
"2017.04.26	-3.641		-1.034"
"2017.04.19	-1.034		-2.166"
"2017.04.12	-2.166		1.566"
"2017.04.05	1.566		0.867"
"2017.03.29	0.867		4.954"
"2017.03.22	4.954		-0.237"
"2017.03.15	-0.237		8.209"
"2017.03.08	8.209		1.501"
"2017.03.01	1.501		0.564"
"2017.02.23	0.564		9.527"
"2017.02.15	9.527		13.830"
"2017.02.08	13.830		6.466"
"2017.02.01	6.466		2.840"
"2017.01.25	2.840		2.347"
"2017.01.19	2.347		4.097"
"2017.01.11	4.097		-7.051"
"2017.01.05	-7.051		0.614"
"2016.12.29	0.614		2.256"
"2016.12.21	2.256		-2.563"
"2016.12.14	-2.563		-2.389"
"2016.12.07	-2.389		-0.884"
"2016.11.30	-0.884		-1.255"
"2016.11.23	-1.255		5.274"
"2016.11.16	5.274		2.432"
"2016.11.09	2.432		14.420"
"2016.11.02	14.420		-0.553"
"2016.10.26	-0.553		-5.247"
"2016.10.19	-5.247		4.900"
"2016.10.13	4.900		-2.976"
"2016.10.05	-2.976		-1.882"
"2016.09.28	-1.882		-6.200"
"2016.09.21	-6.200		-0.559"
"2016.09.14	-0.559		-14.513"
"2016.09.08	-14.513		2.276"
"2016.08.31	2.276		2.501"
"2016.08.24	2.501		-2.508"
"2016.08.17	-2.508		1.055"
"2016.08.10	1.055		1.413"
"2016.08.03	1.413		1.671"
"2016.07.27	1.671		-2.342"
"2016.07.20	-2.342		-2.546"
"2016.07.13	-2.546		-2.223"
"2016.07.07	-2.223		-4.053"
"2016.06.29	-4.053		-0.917"
"2016.06.22	-0.917		-0.933"
"2016.06.15	-0.933		-3.226"
"2016.06.08	-3.226		-1.366"
"2016.06.02	-1.366		-4.226"
"2016.05.25	-4.226		1.310"
"2016.05.18	1.310		-3.410"
"2016.05.11	-3.410		2.784"
"2016.05.04	2.784		1.999"
"2016.04.27	1.999		2.080"
"2016.04.20	2.080		6.634"
"2016.04.13	6.634		-4.937"
"2016.04.06	-4.937		2.299"
"2016.03.30	2.299		9.357"
"2016.03.23	9.357		1.317"
"2016.03.16	1.317		3.880"
"2016.03.09	3.880		10.374"
"2016.03.02	10.374		3.502"
"2016.02.24	3.502		2.147"
"2016.02.18	2.147		-0.754"
"2016.02.10	-0.754		7.792"
"2016.02.03	7.792		8.383"
"2016.01.27	8.383		3.979"
"2016.01.21	3.979		0.234"
"2016.01.13	0.234		-5.085"
"2016.01.06	-5.085		2.629"
"2015.12.30	2.629		-5.877"
"2015.12.23	-5.877		4.801"
"2015.12.16	4.801		-3.568"
"2015.12.09	-3.568		1.177"
"2015.12.02	1.177		0.961"
"2015.11.25	0.961		0.252"
"2015.11.18	0.252		4.224"
"2015.11.12	4.224		2.847"
"2015.11.04	2.847		3.376"
"2015.10.28	3.376		8.028"
"2015.10.21	8.028		7.562"
"2015.10.15	7.562		3.073"
"2015.10.07	3.073		3.955"
"2015.09.30	3.955		-1.925"
"2015.09.23	-1.925		-2.104"
"2015.09.16	-2.104		2.570"
"2015.09.10	2.570		4.667"
"2015.09.02	4.667		-5.452"
"2015.08.26	-5.452		2.620"
"2015.08.19	2.620		-1.682"
"2015.08.12	-1.682		-4.407"
"2015.08.05	-4.407		-4.203"
"2015.07.29	-4.203		2.468"
"2015.07.22	2.468		-4.346"
"2015.07.15	-4.346		0.384"
"2015.07.08	0.384		2.386"
"2015.07.01	2.386		-4.934"
"2015.06.24	-4.934		-2.676"
"2015.06.17	-2.676		-6.812"
"2015.06.10	-6.812		-1.948"
"2015.06.03	-1.948		-2.802"
"2015.05.28	-2.802		-2.674"
"2015.05.20	-2.674		-2.191"
"2015.05.13	-2.191		-3.882"
"2015.05.06	-3.882		1.910"
"2015.04.29	1.910		5.315"
"2015.04.22	5.315		1.294"
"2015.04.15	1.294		10.949"
"2015.04.08	10.949		4.766"
"2015.04.01	4.766		8.170"
"2015.03.25	8.170		9.622"
"2015.03.18	9.622		4.512"
"2015.03.11	4.512		10.303"
"2015.03.04	10.303		8.427"
"2015.02.25	8.427		7.716"
"2015.02.19	7.716		4.868"
"2015.02.11	4.868		6.333"
"2015.02.04	6.333		8.874"
"2015.01.28	8.874		10.071"
"2015.01.22	10.071		5.389"
"2015.01.14	5.389		-3.062"
"2015.01.07	-3.062		-1.754"
"2014.12.31	-1.754		7.267"
"2014.12.24	7.267		-0.847"
"2014.12.17	-0.847		1.454"
"2014.12.10	1.454		-3.689"
